CAMIS,YEAR,SCORE,SCORE CHANGE
40367005,2013.0,11.8888888889,0.0
40367038,2013.0,5.66666666667,5.0
40367161,2013.0,8.33333333333,-16.0
40367164,2013.5,11.5,1.0
40367179,2012.33333333,11.0,2.0
40367183,2013.0,7.33333333333,2.0
40367189,2013.5,9.0,-2.0
40367232,2013.5,9.625,4.0
40367240,2014.0,9.0,-1.0
40367241,2013.66666667,19.1666666667,-20.0
40367278,2013.5,15.0,12.0
40367329,2013.0,9.16666666667,5.0
40367338,2013.0,7.33333333333,6.0
40367339,2012.66666667,12.0,7.0
40367365,2013.0,8.11111111111,10.0
40367373,2013.66666667,10.5,1.0
40367377,2012.5,14.25,13.0
40367407,2012.66666667,6.33333333333,4.0
40367420,2013.5,16.0,-6.0
40367442,2013.5,17.375,-12.0
40367481,2013.66666667,6.44444444444,2.0
40367534,2012.5,18.0,-7.0
40367540,2013.0,13.3333333333,4.0
40367570,2012.5,9.25,-7.0
40367677,2012.5,11.0,-1.0
40367715,2012.5,9.875,-4.0
40367728,2013.5,9.75,0.0
40367749,2012.5,10.75,-2.0
40367752,2013.0,8.5,-3.0
40367766,2014.0,7.66666666667,18.0
40367789,2013.0,8.16666666667,1.0
40367790,2013.5,10.875,-3.0
40367797,2013.5,14.75,-6.0
40367829,2013.5,9.625,-1.0
40367841,2012.5,7.5,1.0
40367860,2013.5,12.0,4.0
40367870,2013.0,10.6666666667,0.0
40367946,2012.5,4.75,5.0
40368018,2013.0,8.33333333333,0.0
40368021,2012.5,3.5,-8.0
40368022,2012.5,7.5,3.0
40368025,2012.5,5.75,-11.0
40368026,2012.5,5.25,4.0
40368034,2012.5,7.25,0.0
40368065,2012.5,11.0,4.0
40368157,2012.5,11.625,0.0
40368207,2012.5,6.75,-11.0
40368223,2013.0,11.6666666667,-2.0
40368271,2013.0,18.0,9.0
40368291,2013.5,10.625,-3.0
40368313,2012.5,10.25,3.0
40368318,2013.0,12.0,5.0
40368338,2014.0,12.0,1.0
40368346,2012.5,10.875,2.0
40368370,2013.0,12.8333333333,4.0
40368374,2013.5,15.0,-4.0
40368526,2013.5,10.25,3.0
40368552,2013.0,10.6666666667,-10.0
40368555,2013.0,10.0,4.0
40368577,2013.0,10.1666666667,0.0
40368581,2012.5,18.75,-1.0
40368617,2013.0,9.0,7.0
40368632,2013.0,10.3333333333,4.0
40368725,2013.5,17.0,-9.0
40368752,2013.5,8.875,5.0
40368763,2012.5,12.5,22.0
40368801,2014.0,14.3333333333,6.0
40368809,2012.5,8.25,5.0
40368897,2013.0,9.16666666667,-5.0
40368971,2013.5,8.75,3.0
40369012,2012.5,9.75,-1.0
40369016,2013.5,11.125,-5.0
40369017,2013.0,7.83333333333,1.0
40369051,2013.5,10.25,0.0
40369087,2013.5,9.08333333333,3.0
40369097,2013.0,9.66666666667,-2.0
40369111,2012.5,11.0,4.0
40369139,2014.0,6.66666666667,-7.0
40369158,2013.5,10.625,0.0
40369165,2013.5,12.375,-4.0
40369213,2013.5,21.625,-10.0
40369262,2013.0,9.66666666667,2.0
40369299,2013.0,12.8333333333,-4.0
40369400,2012.5,11.125,0.0
40369418,2013.5,10.125,2.0
40369461,2013.5,21.5625,-2.0
40369482,2012.5,15.375,17.0
40369495,2012.5,14.5,8.0
40369521,2013.5,13.375,8.0
40369535,2013.5,8.5,-7.0
40369580,2013.5,17.5,0.0
40369597,2013.0,7.83333333333,10.0
40369601,2013.5,16.0,-1.0
40369608,2013.0,9.0,-2.0
40369619,2013.5,9.25,-9.0
40369641,2012.5,12.0,-1.0
40369667,2013.5,10.25,-7.0
40369669,2012.66666667,7.0,-7.0
40369675,2013.5,5.25,5.0
40369676,2012.5,7.0,2.0
40369716,2014.0,10.6666666667,5.0
40369724,2013.5,12.25,2.0
40369753,2013.0,19.1666666667,30.0
40369759,2013.5,9.5,8.0
40369775,2013.5,10.875,4.0
40369782,2012.5,10.375,-1.0
40369810,2013.5,11.75,0.0
40369849,2012.5,13.625,13.0
40369869,2013.5,7.625,6.0
40369878,2013.0,11.1666666667,-4.0
40369895,2013.0,16.6666666667,6.0
40369915,2013.0,7.66666666667,-2.0
40369928,2013.5,10.25,14.0
40369940,2013.5,11.875,-15.0
40369954,2013.5,16.75,12.0
40369958,2014.0,11.0,0.0
40369983,2013.0,13.5,1.0
40370015,2013.5,17.875,2.0
40370091,2013.0,10.6666666667,-8.0
40370146,2012.5,6.25,-3.0
